"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"391","Team Pursuit",2,NA,TRUE,TRUE,TRUE,3
"392","Team Pursuit",3,244.093,TRUE,FALSE,TRUE,1
"393","Team Pursuit",10,NA,TRUE,FALSE,TRUE,2
"394","Team Pursuit",9,255.225,TRUE,FALSE,TRUE,3
"395","Team Sprint",2,50.071,TRUE,FALSE,TRUE,1
"396","Team Sprint",4,45.167,TRUE,FALSE,TRUE,2
"397","Sprint",3,NA,TRUE,FALSE,TRUE,1
"398","Sprint",4,NA,TRUE,FALSE,TRUE,2
"399","Sprint",2,NA,TRUE,FALSE,TRUE,3
"400","Sprint",8,NA,FALSE,FALSE,TRUE,4
"401","Sprint",5,10.798,TRUE,FALSE,FALSE,4
"402","Sprint",5,11.164,TRUE,FALSE,FALSE,8
"403","Madison",14,2,TRUE,FALSE,TRUE,1
"404","Madison",8,5,TRUE,FALSE,TRUE,2
"405","Madison",4,19,TRUE,FALSE,TRUE,3
"406","Team Sprint",5,33.618,TRUE,FALSE,TRUE,1
"407","Team Sprint",6,33.604,TRUE,FALSE,TRUE,2
"408","Team Sprint",6,NA,TRUE,FALSE,TRUE,3
"409","Team Sprint",3,NA,TRUE,FALSE,FALSE,4
"410","Team Pursuit",4,NA,TRUE,FALSE,TRUE,3
"411","Team Pursuit",6,256.685,FALSE,FALSE,TRUE,4
"412","Sprint",6,NA,TRUE,FALSE,TRUE,1
"413","Sprint",3,NA,TRUE,FALSE,TRUE,3
"414","Sprint",6,NA,TRUE,FALSE,FALSE,4
"415","Sprint",5,NA,FALSE,FALSE,TRUE,4
"416","Sprint",3,NA,TRUE,FALSE,TRUE,6
"417","Team Pursuit",1,NA,TRUE,FALSE,TRUE,1
"418","Sprint",4,NA,FALSE,FALSE,TRUE,4
"419","Team Pursuit",2,234.687,TRUE,FALSE,TRUE,1
"420","Team Pursuit",8,244.419,TRUE,FALSE,TRUE,2
"421","Team Pursuit",2,248.402,TRUE,TRUE,TRUE,6
"422","Team Pursuit",1,237.28,TRUE,FALSE,TRUE,1
"423","Team Pursuit",1,240.362,TRUE,FALSE,TRUE,2
"424","Team Pursuit",3,242.781,TRUE,FALSE,TRUE,1
"425","Team Pursuit",4,NA,TRUE,FALSE,TRUE,3
"426","Team Pursuit",3,NA,TRUE,TRUE,TRUE,6
"427","Team Pursuit",3,272.69,TRUE,FALSE,TRUE,1
